S.No,Lead first name,Lead last name,Lead ID,Lead Source,Campaign name,Campaign ID,Lead Created Date,UCIC,Mobile Number,Alternate Mobile,Email ID,Date of Birth,PAN,PAN Attachment,City,District,State,Pincode,Country,Portfolio,Product,Offer Amount,Offer Valid Till,Assigned To,Branch,Region,Zone,Lead Status,Reason Code,Reason,Next Follow-up Date,LAN No.,Status Updated On,Duplicate Flag,Last Modified By,Last Modified On,Occupation,Employment Type,First Response (hrs),SLA Breached
319,Kunal,Patil,AFL-RET-000319,Landing page,Swasthya Care AUG26,CMP-2026-0035,2026-08-18 10:23:00,478315315,8511724963,,kunal.patil@rediffmail.com,1994-04-18,TBEPY4299Z,PAN_Kunal_Patil.pdf,Ahmedabad,Ahmedabad,Gujarat,380058,India,Loan Against Property,Lease Rental Discounting,10500000,2026-09-17,Parth Joshi,Ahmedabad — Satellite,Gujarat Region,West Zone,Disbursed,,,,AFLRET26000064,2026-09-10 18:30:00,No,Parth Joshi,2026-09-10 18:30:00,Business Owner,Self-Employed,0.1,No
320,Deepak,Jain,AFL-RET-000320,Social media,Safar Travel APR26,CMP-2026-0025,2026-04-18 15:31:00,,7606186437,,,1983-11-15,KEJPM7083B,PAN_Deepak_Jain.pdf,Bengaluru,Bengaluru Urban,Karnataka,560011,India,Retail Home Loans,Home Loan Balance Transfer,7000000,2026-05-18,Nandini Rao,Bengaluru — Jayanagar,Karnataka Region,South Zone,Rejected,REJ-02,Income below minimum,,,2026-04-25 16:46:00,No,Nandini Rao,2026-04-25 16:46:00,Salaried — Government / PSU,Salaried,,No
321,Abhijit,Sarkar,AFL-RET-000321,Landing page,Safar Travel MAR26,CMP-2026-0022,2026-03-29 15:37:00,,6187172332,,abhijit.sarkar@gmail.com,1994-08-05,LPAPF3268M,PAN_Abhijit_Sarkar.pdf,Kolkata,Kolkata,West Bengal,700106,India,Vehicle & Consumer Loans,Used Car Loan,1000000,2026-04-28,Paromita Majumdar,Kolkata — Salt Lake,West Bengal Region,East Zone,Sanctioned,,,,AFLRET26000065,2026-04-16 18:39:00,No,Paromita Majumdar,2026-04-16 18:39:00,Self-Employed Non-Professional,Self-Employed,8.2,Yes
322,Naveen,Kapoor,AFL-RET-000322,Social media,Ghar Ka Sapna MAR26,CMP-2026-0019,2026-03-17 20:05:00,472686195,7945745393,7327070942,naveen.kapoor60@gmail.com,1981-11-14,,,Gurugram,Gurugram,Haryana,122018,India,Retail Home Loans,Home Purchase Loan,11000000,2026-05-01,Aarav Khanna,Gurugram — Cyber City,Delhi NCR Region,North Zone,Not interested,NI-07,Tenure offered not suitable,,,2026-03-22 11:49:00,No,Aarav Khanna,2026-03-22 11:49:00,Salaried — MNC,Salaried,0.2,No
323,Priya,Goel,AFL-RET-000323,Social media,Property Power JUN26,CMP-2026-0029,2026-06-17 09:51:00,666486934,7489013813,,priya.goel@hotmail.com,1986-05-13,KNBPN8591H,PAN_Priya_Goel.pdf,New Delhi,New Delhi,Delhi,110001,India,Gold & Secured Loans,Loan Against Securities,1300000,2026-07-17,Nidhi Sharma,Delhi — Connaught Place,Delhi NCR Region,North Zone,Disbursed,,,,AFLRET26000066,2026-07-19 11:27:00,No,Nidhi Sharma,2026-07-19 11:27:00,Business Owner,Self-Employed,1.2,No
324,Prasad,Varma,AFL-RET-000324,Social media,Balance Transfer Bonanza JUN26,CMP-2026-0030,2026-06-13 15:44:00,626402775,6721957031,,prasad.varma@rediffmail.com,1996-12-05,EFHPP1595Q,PAN_Prasad_Varma.pdf,Hyderabad,Hyderabad,Telangana,500034,India,Retail Personal Loans,Debt Consolidation Loan,775000,2026-07-28,Rajitha Reddy,Hyderabad — Banjara Hills,Telangana Region,South Zone,Not reachable,NR-01,Number switched off / unreachable,,,2026-06-16 11:41:00,No,Rajitha Reddy,2026-06-16 11:41:00,Salaried — MNC,Salaried,0.4,No
325,Archana,Baruah,AFL-RET-000325,PQ Campaign,Shiksha Education AUG26,CMP-2026-0034,2026-08-31 09:05:00,949261228,6357438459,,archana.baruah@rediffmail.com,1960-03-05,,,Ranchi,Ranchi,Jharkhand,834008,India,Retail Home Loans,Plot + Construction Loan,5000000,2026-10-15,Anita Bora,Ranchi — Main Road,East India Region,East Zone,Not interested,NI-03,Only enquiring — no current need,,,2026-09-02 17:23:00,No,Anita Bora,2026-09-02 17:23:00,Retired / Pensioner,Salaried,0.2,No
326,Kalyani,Sawant,AFL-RET-000326,Website,Professional Edge MAR26,CMP-2026-0021,2026-03-22 09:51:00,295338290,8938049330,,kalyani.sawant@gmail.com,2005-04-11,DPGPW2638A,PAN_Kalyani_Sawant.pdf,Mumbai,Mumbai Suburban,Maharashtra,400050,India,Vehicle & Consumer Loans,Consumer Durable Loan,225000,2026-05-06,Shreya Desai,Mumbai — Bandra,Maharashtra Region,West Zone,Disbursed,,,,AFLRET26000067,2026-04-17 11:10:00,No,Shreya Desai,2026-04-17 11:10:00,Student,Salaried,0.2,No
327,Sasmita,Oraon,AFL-RET-000327,PQ Campaign,Professional Edge AUG26,CMP-2026-0036,2026-08-26 11:23:00,363273142,7117121339,,sasmita.oraon@yahoo.com,1986-03-18,MVYPC3993Y,PAN_Sasmita_Oraon.pdf,Ranchi,Ranchi,Jharkhand,834002,India,Retail Home Loans,Home Loan Balance Transfer,9000000,2026-09-25,Anita Bora,Ranchi — Main Road,East India Region,East Zone,Not reachable,NR-01,Number switched off / unreachable,,,2026-08-28 09:07:00,No,Anita Bora,2026-08-28 09:07:00,Salaried — Government / PSU,Salaried,0.2,No
328,Paromita,Chatterjee,AFL-RET-000328,PQ Campaign,Shubh Vivah DEC25,CMP-2025-0011,2025-12-23 16:37:00,309590264,7468578394,,paromita.chatterjee@rediffmail.com,1995-06-14,,,Kolkata,Kolkata,West Bengal,700016,India,Loan Against Property,MLAP (Shakti),2300000,2026-02-21,Rajib Chatterjee,Kolkata — Park Street,West Bengal Region,East Zone,Rejected,REJ-05,OGL — outside the geo location,,,2025-12-29 10:03:00,No,Rajib Chatterjee,2025-12-29 10:03:00,Self-Employed Non-Professional,Self-Employed,,No
329,Rajitha,Naidu,AFL-RET-000329,Website,Property Power JUN26,CMP-2026-0029,2026-06-26 10:00:00,231447392,6608526736,,rajitha.naidu@gmail.com,1981-07-07,NZJPY9972J,PAN_Rajitha_Naidu.pdf,Hyderabad,Rangareddy,Telangana,500019,India,Retail Home Loans,Disha Home Loan,1100000,2026-08-10,Mahesh Varma,Hyderabad — Gachibowli,Telangana Region,South Zone,Rejected,REJ-12,GST / ITR not available,,,2026-07-01 10:15:00,No,Mahesh Varma,2026-07-01 10:15:00,Salaried — Private Sector,Salaried,,No
330,Manoj,Nair,AFL-RET-000330,Landing page,Shiksha Education JUL26,CMP-2026-0031,2026-07-09 10:12:00,758366046,9745227940,7595604851,manoj.nair@outlook.com,1996-03-23,ACQPS8067K,PAN_Manoj_Nair.pdf,Hubballi,Dharwad,Karnataka,580023,India,Retail Home Loans,Plot + Construction Loan,4700000,2026-08-08,Suhas Pai,Hubballi — Vidyanagar,Karnataka Region,South Zone,Not interested,NI-01,Rate of interest too high,,,2026-07-09 18:30:00,No,Suhas Pai,2026-07-09 18:30:00,Salaried — Government / PSU,Salaried,0.2,No
331,Ankit,Malhotra,AFL-RET-000331,Landing page,Shiksha Education JUL26,CMP-2026-0031,2026-07-19 19:05:00,,6143365108,,ankit.malhotra@yahoo.com,1996-03-26,TPCPF6477K,PAN_Ankit_Malhotra.pdf,Lucknow,Lucknow,Uttar Pradesh,226010,India,Retail Home Loans,Plot + Construction Loan,1600000,2026-09-17,Tarun Tiwari,Lucknow — Hazratganj,North India Region,North Zone,Disbursed,,,,AFLRET26000068,2026-08-16 10:26:00,No,Tarun Tiwari,2026-08-16 10:26:00,Business Owner,Self-Employed,1.8,No
332,Sagar,Jadhav,AFL-RET-000332,PQ Campaign,Diwali Dhamaka NOV25,CMP-2025-0006,2025-11-09 19:12:00,738920735,8169530196,9692133742,sagar.jadhav39@hotmail.com,1994-10-28,TTXPW8246G,PAN_Sagar_Jadhav.pdf,Pune,Pune,Maharashtra,411005,India,Loan Against Property,Lease Rental Discounting,11500000,2025-12-24,Nikhil Deshmukh,Pune — Shivajinagar,Maharashtra Region,West Zone,Rejected,REJ-06,Documentation — unable to provide,,,2025-11-13 09:44:00,No,Nikhil Deshmukh,2025-11-13 09:44:00,Self-Employed Non-Professional,Self-Employed,,No
333,Nandini,Kulkarni,AFL-RET-000333,Landing page,Safar Travel APR26,CMP-2026-0025,2026-04-12 14:23:00,,8301174277,,nandini.kulkarni@rediffmail.com,1977-01-25,VWCPE1461X,PAN_Nandini_Kulkarni.pdf,Mysuru,Mysuru,Karnataka,570001,India,Loan Against Property,Lease Rental Discounting,10000000,2026-05-12,Deepa Nair,Mysuru — Saraswathipuram,Karnataka Region,South Zone,Sanctioned,,,,AFLRET26000069,2026-04-22 15:47:00,No,Deepa Nair,2026-04-22 15:47:00,Self-Employed Non-Professional,Self-Employed,4.4,Yes
334,Aniket,Shinde,AFL-RET-000334,Website,Shubh Vivah NOV25,CMP-2025-0007,2025-11-11 10:12:00,,9107518338,,aniket.shinde@yahoo.com,1999-06-28,LTHPZ5072T,PAN_Aniket_Shinde.pdf,Ahmedabad,Ahmedabad,Gujarat,380001,India,Retail Personal Loans,Medical Emergency Loan,225000,2025-12-26,Payal Vora,Ahmedabad — CG Road,Gujarat Region,West Zone,Disbursed,,,,AFLRET25000070,2025-12-07 09:37:00,No,Payal Vora,2025-12-07 09:37:00,Salaried — Private Sector,Salaried,2.6,Yes
335,Priya,Singh,AFL-RET-000335,Website,Vyapar Vriddhi JAN26,CMP-2026-0013,2026-01-26 09:58:00,,9539232754,9676611759,,1981-11-18,JLAPM5975V,PAN_Priya_Singh.pdf,New Delhi,West Delhi,Delhi,110058,India,Business & MSME Loans,Vyapar Business Loan,900000,2026-03-12,Nitin Mishra,Delhi — Rajouri Garden,Delhi NCR Region,North Zone,Rejected,REJ-13,Others,,,2026-01-27 17:13:00,No,Nitin Mishra,2026-01-27 17:13:00,Self-Employed Professional,Self-Employed,,No
336,Isha,Chopra,AFL-RET-000336,PQ Campaign,Ghar Ka Sapna SEP26,CMP-2026-0037,2026-09-09 18:00:00,797492923,6963217425,7444739888,isha.chopra@rediffmail.com,1975-12-25,BVUPM6182V,PAN_Isha_Chopra.pdf,New Delhi,West Delhi,Delhi,110026,India,Retail Home Loans,Home Purchase Loan,9000000,2026-10-09,Arjun Sethi,Delhi — Rajouri Garden,Delhi NCR Region,North Zone,Not reachable,NR-03,No response after 3 attempts,,,2026-09-10 18:30:00,No,Arjun Sethi,2026-09-10 18:30:00,Salaried — Private Sector,Salaried,0.2,No
337,Harsha,Murthy,AFL-RET-000337,PQ Campaign,Shubh Vivah JAN26,CMP-2026-0012,2026-01-16 19:31:00,735012004,6283871381,,harsha.murthy@hotmail.com,1993-04-15,,,Bengaluru,Bengaluru Urban,Karnataka,560067,India,Retail Home Loans,Plot + Construction Loan,1100000,2026-02-15,Deepa Iyengar,Bengaluru — Whitefield,Karnataka Region,South Zone,Not reachable,NR-03,No response after 3 attempts,,,2026-01-20 10:43:00,No,Deepa Iyengar,2026-01-20 10:43:00,Salaried — Private Sector,Salaried,0.3,No
338,Tanmoy,Sarkar,AFL-RET-000338,Landing page,Shiksha Education JUL26,CMP-2026-0031,2026-07-06 11:12:00,,8132709819,,tanmoy.sarkar@outlook.com,2000-05-05,VJSPQ2807C,PAN_Tanmoy_Sarkar.pdf,Kolkata,Kolkata,West Bengal,700071,India,Retail Personal Loans,Education Loan,300000,2026-08-05,Rajib Chatterjee,Kolkata — Park Street,West Bengal Region,East Zone,Rejected,REJ-02,Income below minimum,,,2026-07-15 11:57:00,No,Rajib Chatterjee,2026-07-15 11:57:00,Salaried — Private Sector,Salaried,,No
339,Shreya,Deshmukh,AFL-RET-000339,Website,Shiksha Education MAY26,CMP-2026-0026,2026-05-17 16:44:00,,9436433360,9333350089,shreya.deshmukh31@gmail.com,1975-01-26,,,Thane,Thane,Maharashtra,400615,India,Professional Loans,Doctor Professional Loan,600000,2026-07-01,Kalyani Joshi,Thane — Ghodbunder,Maharashtra Region,West Zone,Not interested,NI-03,Only enquiring — no current need,,,2026-05-20 10:53:00,No,Kalyani Joshi,2026-05-20 10:53:00,Self-Employed Professional,Self-Employed,0.9,No
340,Kishore,Achari,AFL-RET-000340,Landing page,Diwali Dhamaka OCT25,CMP-2025-0001,2025-10-04 10:18:00,408890943,7980012724,,kishore.achari@rediffmail.com,1992-08-27,,,Visakhapatnam,Visakhapatnam,Andhra Pradesh,530002,India,Retail Personal Loans,Diwali Special Loan,300000,2025-11-18,Chandra Naidu,Vizag — Dwaraka Nagar,Kerala & AP Region,South Zone,Not interested,NI-02,Already availed loan elsewhere,,,2025-10-05 10:36:00,No,Chandra Naidu,2025-10-05 10:36:00,Business Owner,Self-Employed,0.2,No
341,Nilesh,Amin,AFL-RET-000341,PQ Campaign,Grah Sajawat SEP26,CMP-2026-0040,2026-09-02 10:44:00,327233872,7479280491,6165716588,nilesh.amin@yahoo.com,1991-03-01,HCXPD2225Q,PAN_Nilesh_Amin.pdf,Mumbai,Mumbai,Maharashtra,400020,India,Retail Personal Loans,Home Renovation Loan,525000,2026-11-01,Omkar Patel,Mumbai — Fort,Maharashtra Region,West Zone,Login Initiated,,,,,2026-09-04 15:02:00,No,Omkar Patel,2026-09-04 15:02:00,Salaried — MNC,Salaried,0.2,No
342,Rakesh,Bora,AFL-RET-000342,Landing page,Vyapar Vriddhi JAN26,CMP-2026-0013,2026-01-28 17:12:00,536245796,9169697113,,rakesh.bora@gmail.com,1992-09-05,,,Bhubaneswar,Khordha,Odisha,751007,India,Business & MSME Loans,Vyapar Business Loan,4100000,2026-03-29,Rakesh Deka,Bhubaneswar — Saheed Nagar,East India Region,East Zone,Not reachable,NR-02,Invalid / wrong number,,,2026-01-31 11:33:00,No,Rakesh Deka,2026-01-31 11:33:00,Self-Employed Non-Professional,Self-Employed,0.6,No
343,Rahul,Thomas,AFL-RET-000343,PQ Campaign,Diwali Dhamaka NOV25,CMP-2025-0006,2025-11-30 10:23:00,634988384,9806795661,,rahul.thomas@gmail.com,2002-12-04,,,Kochi,Ernakulam,Kerala,682025,India,Vehicle & Consumer Loans,Two-Wheeler Loan,155000,2026-01-14,Anjana Menon,Kochi — Kaloor,Kerala & AP Region,South Zone,Not interested,NI-03,Only enquiring — no current need,,,2025-12-05 11:07:00,No,Anjana Menon,2025-12-05 11:07:00,Salaried — MNC,Salaried,0.2,No
344,Chetan,Murthy,AFL-RET-000344,Social media,Diwali Dhamaka OCT25,CMP-2025-0001,2025-10-03 19:44:00,367674771,8710644936,7935856364,chetan.murthy@outlook.com,1995-04-08,,,Bengaluru,Bengaluru Urban,Karnataka,560069,India,Vehicle & Consumer Loans,Consumer Durable Loan,90000,2025-11-17,Nandini Rao,Bengaluru — Jayanagar,Karnataka Region,South Zone,Not interested,NI-05,Processing fee not acceptable,,,2025-10-07 11:48:00,No,Nandini Rao,2025-10-07 11:48:00,Salaried — Government / PSU,Salaried,0.5,No
345,Pranav,Gaikwad,AFL-RET-000345,Landing page,Shiksha Education JUL26,CMP-2026-0031,2026-07-27 09:18:00,,6475179918,7239688121,pranav.gaikwad16@hotmail.com,1980-07-24,KPBPG6814X,PAN_Pranav_Gaikwad.pdf,Nagpur,Nagpur,Maharashtra,440022,India,Loan Against Property,Loan Against Property,22000000,2026-08-26,Hardik Patel,Nagpur — Dharampeth,Maharashtra Region,West Zone,Disbursed,,,,AFLRET26000071,2026-08-25 11:47:00,No,Hardik Patel,2026-08-25 11:47:00,Salaried — Government / PSU,Salaried,0.2,No
346,Deepak,Jain,AFL-RET-000346,PQ Campaign,Property Power JUN26,CMP-2026-0029,2026-06-02 20:58:00,477493173,6561226070,,deepak.jain@rediffmail.com,1991-07-11,,,Bengaluru,Bengaluru Urban,Karnataka,560067,India,Retail Personal Loans,Medical Emergency Loan,550000,2026-07-17,Kiran Udupa,Bengaluru — Whitefield,Karnataka Region,South Zone,Not interested,NI-02,Already availed loan elsewhere,,,2026-06-05 11:39:00,No,Kiran Udupa,2026-06-05 11:39:00,Salaried — Government / PSU,Salaried,0.2,No
347,Yash,Sawant,AFL-RET-000347,Website,Property Power APR26,CMP-2026-0023,2026-04-03 14:51:00,,7880833065,8414518003,yash.sawant@hotmail.com,1991-12-25,DYFPJ5661J,PAN_Yash_Sawant.pdf,Mumbai,Mumbai,Maharashtra,400001,India,Retail Home Loans,Home Loan Balance Transfer,11500000,2026-05-18,Omkar Patel,Mumbai — Fort,Maharashtra Region,West Zone,Rejected,REJ-08,Employer / company not approved,,,2026-04-11 11:51:00,No,Omkar Patel,2026-04-11 11:51:00,Salaried — Government / PSU,Salaried,,No
348,Kunal,Trivedi,AFL-RET-000348,Social media,Swasthya Care AUG26,CMP-2026-0035,2026-08-25 16:18:00,458456386,8856715907,,,2002-06-09,,,Rajkot,Rajkot,Gujarat,360007,India,Loan Against Property,Lease Rental Discounting,28000000,2026-10-24,Siddharth Trivedi,Rajkot — Kalawad Road,Gujarat Region,West Zone,Follow-up,,,2026-09-17,,2026-08-27 10:51:00,No,Siddharth Trivedi,2026-08-27 10:51:00,Self-Employed Professional,Self-Employed,0.2,No
349,Shreya,Modi,AFL-RET-000349,Social media,Shiksha Education MAY26,CMP-2026-0026,2026-05-29 09:18:00,,7236928748,,shreya.modi@hotmail.com,2000-07-13,,,Pune,Pune,Maharashtra,411001,India,Business & MSME Loans,MSME Growth Loan,4400000,2026-07-28,Parth Parikh,Pune — Shivajinagar,Maharashtra Region,West Zone,Not interested,NI-04,Requirement postponed,,,2026-06-03 10:09:00,No,Parth Parikh,2026-06-03 10:09:00,Agriculturist,Self-Employed,0.2,No
350,Kavita,Chauhan,AFL-RET-000350,Social media,Vyapar Vriddhi FEB26,CMP-2026-0016,2026-02-05 16:00:00,317882329,7633928056,,kavita.chauhan@yahoo.com,1981-01-16,PRBPV8798J,PAN_Kavita_Chauhan.pdf,New Delhi,West Delhi,Delhi,110026,India,Business & MSME Loans,Vyapar Business Loan,800000,2026-03-22,Arjun Sethi,Delhi — Rajouri Garden,Delhi NCR Region,North Zone,Not interested,NI-02,Already availed loan elsewhere,,,2026-02-09 13:18:00,No,Arjun Sethi,2026-02-09 13:18:00,Self-Employed Non-Professional,Self-Employed,0.2,No
351,Omkar,Kulkarni,AFL-RET-000351,Social media,Shiksha Education MAY26,CMP-2026-0026,2026-05-10 11:31:00,858176476,7159846476,,omkar.kulkarni@rediffmail.com,1975-05-04,,,Mumbai,Mumbai,Maharashtra,400001,India,Loan Against Property,Lease Rental Discounting,32500000,2026-06-09,Omkar Patel,Mumbai — Fort,Maharashtra Region,West Zone,Not reachable,NR-01,Number switched off / unreachable,,,2026-05-13 11:29:00,No,Omkar Patel,2026-05-13 11:29:00,Business Owner,Self-Employed,7,Yes
352,Prashanth,Kulkarni,AFL-RET-000352,Website,Shiksha Education MAY26,CMP-2026-0026,2026-05-15 17:05:00,,9198040332,7354339746,prashanth.kulkarni@gmail.com,1971-09-27,EUTPA4908E,PAN_Prashanth_Kulkarni.pdf,Bengaluru,Bengaluru Urban,Karnataka,560082,India,Retail Personal Loans,Education Loan,300000,2026-06-14,Nandini Rao,Bengaluru — Jayanagar,Karnataka Region,South Zone,Rejected,REJ-06,Documentation — unable to provide,,,2026-05-22 11:52:00,No,Nandini Rao,2026-05-22 11:52:00,Salaried — MNC,Salaried,,No
353,Madhavi,Chowdary,AFL-RET-000353,Website,Ghar Ka Sapna NOV25,CMP-2025-0008,2025-11-22 12:23:00,156463917,9765424291,7338542289,madhavi.chowdary@gmail.com,1991-10-28,PZMPX6235U,PAN_Madhavi_Chowdary.pdf,Hyderabad,Rangareddy,Telangana,500089,India,Loan Against Property,Lease Rental Discounting,5500000,2025-12-22,Mahesh Varma,Hyderabad — Gachibowli,Telangana Region,South Zone,Not interested,NI-01,Rate of interest too high,,,2025-11-23 10:02:00,No,Mahesh Varma,2025-11-23 10:02:00,Self-Employed Professional,Self-Employed,0.2,No
354,Karan,Verma,AFL-RET-000354,Landing page,Shubh Vivah DEC25,CMP-2025-0011,2025-12-21 20:51:00,,9457146703,,karan.verma@hotmail.com,1988-03-08,,,Kanpur,Kanpur Nagar,Uttar Pradesh,208004,India,Loan Against Property,Loan Against Property,23000000,2026-02-19,Nitin Bansal,Kanpur — Civil Lines,North India Region,North Zone,Not reachable,NR-03,No response after 3 attempts,,,2025-12-25 09:10:00,No,Nitin Bansal,2025-12-25 09:10:00,Self-Employed Non-Professional,Self-Employed,0.2,No
355,Nisha,Vora,AFL-RET-000355,Social media,Property Power MAY26,CMP-2026-0027,2026-05-14 15:51:00,,8142782488,9635459847,nisha.vora@gmail.com,1974-05-17,,,Nashik,Nashik,Maharashtra,422002,India,Retail Home Loans,Home Loan Balance Transfer,2100000,2026-06-28,Tanvi Mehta,Nashik — College Road,Maharashtra Region,West Zone,Not interested,NI-01,Rate of interest too high,,,2026-05-15 17:27:00,No,Tanvi Mehta,2026-05-15 17:27:00,Business Owner,Self-Employed,0.6,No
356,Bhakti,Thakkar,AFL-RET-000356,Website,Swasthya Care AUG26,CMP-2026-0035,2026-08-15 10:51:00,213753637,9834629429,,bhakti.thakkar@gmail.com,1990-03-22,,,Ahmedabad,Ahmedabad,Gujarat,380054,India,Retail Personal Loans,Kushal Personal Loan,125000,2026-09-14,Payal Vora,Ahmedabad — CG Road,Gujarat Region,West Zone,Not reachable,NR-01,Number switched off / unreachable,,,2026-08-17 11:57:00,No,Payal Vora,2026-08-17 11:57:00,Salaried — Private Sector,Salaried,0.2,No
357,Nikhil,Mehta,AFL-RET-000357,Landing page,Vyapar Vriddhi JAN26,CMP-2026-0013,2026-01-31 12:37:00,,8571760546,,nikhil.mehta62@yahoo.com,1977-11-05,,,Mumbai,Mumbai,Maharashtra,400021,India,Business & MSME Loans,MSME Growth Loan,4500000,2026-03-17,Omkar Patel,Mumbai — Fort,Maharashtra Region,West Zone,Not interested,NI-02,Already availed loan elsewhere,,,2026-02-05 11:21:00,No,Omkar Patel,2026-02-05 11:21:00,Self-Employed Professional,Self-Employed,2.3,Yes
358,Deepak,Murthy,AFL-RET-000358,PQ Campaign,Gold Utsav APR26,CMP-2026-0024,2026-04-29 18:18:00,921656468,7874585184,,deepak.murthy41@yahoo.com,1976-08-05,FZPPP9939Q,PAN_Deepak_Murthy.pdf,Bengaluru,Bengaluru Urban,Karnataka,560070,India,Loan Against Property,Lease Rental Discounting,15000000,2026-06-13,Nandini Rao,Bengaluru — Jayanagar,Karnataka Region,South Zone,Not interested,NI-01,Rate of interest too high,,,2026-05-01 09:34:00,No,Nandini Rao,2026-05-01 09:34:00,Business Owner,Self-Employed,0.2,No
359,Anita,Choudhury,AFL-RET-000359,Website,Safar Travel OCT25,CMP-2025-0004,2025-10-26 19:05:00,,7468142369,9883823653,anita.choudhury38@yahoo.com,1987-11-26,,,Cuttack,Cuttack,Odisha,753014,India,Loan Against Property,MLAP (Shakti),525000,2025-12-25,Prakash Saikia,Cuttack — Buxi Bazaar,East India Region,East Zone,Not interested,NI-03,Only enquiring — no current need,,,2025-10-31 10:47:00,No,Prakash Saikia,2025-10-31 10:47:00,Business Owner,Self-Employed,0.2,No
360,Nikhil,Pawar,AFL-RET-000360,Landing page,Shiksha Education AUG26,CMP-2026-0034,2026-08-14 12:00:00,,9467395005,,nikhil.pawar@gmail.com,1998-05-11,,,Pune,Pune,Maharashtra,411057,India,Gold & Secured Loans,Gold Loan,90000,2026-10-13,Sneha Parikh,Pune — Wakad,Maharashtra Region,West Zone,Rejected,REJ-09,Property title not clear,,,2026-08-16 16:15:00,No,Sneha Parikh,2026-08-16 16:15:00,Self-Employed Non-Professional,Self-Employed,,No
361,Jayesh,Thakkar,AFL-RET-000361,PQ Campaign,Balance Transfer Bonanza JUN26,CMP-2026-0030,2026-06-02 20:00:00,726390969,8430483548,,jayesh.thakkar74@outlook.com,1974-10-07,,,Vadodara,Vadodara,Gujarat,390001,India,Retail Personal Loans,Medical Emergency Loan,70000,2026-08-01,Chirag Vora,Vadodara — Alkapuri,Gujarat Region,West Zone,Not reachable,NR-02,Invalid / wrong number,,,2026-06-04 17:18:00,No,Chirag Vora,2026-06-04 17:18:00,Salaried — Government / PSU,Salaried,0.2,No
362,Lavanya,Varma,AFL-RET-000362,Website,Property Power JUN26,CMP-2026-0029,2026-06-26 12:05:00,,6658416268,,lavanya.varma@hotmail.com,1971-09-01,,,Hyderabad,Hyderabad,Telangana,500096,India,Professional Loans,CA / Professional Loan,725000,2026-07-26,Rajitha Reddy,Hyderabad — Banjara Hills,Telangana Region,South Zone,Duplicate,DUP-03,"Same customer, different campaign",,,2026-06-26 13:20:00,Yes,Rajitha Reddy,2026-06-26 13:20:00,Business Owner,Self-Employed,,No
363,Aditi,Kulkarni,AFL-RET-000363,Landing page,Swasthya Care AUG26,CMP-2026-0035,2026-08-03 19:05:00,234643172,6744387140,,aditi.kulkarni@outlook.com,1992-06-12,YGRPT1836Q,PAN_Aditi_Kulkarni.pdf,Mumbai,Mumbai Suburban,Maharashtra,400069,India,Retail Personal Loans,Diwali Special Loan,375000,2026-09-17,Mihir Bhatt,Mumbai — Andheri,Maharashtra Region,West Zone,Sanctioned,,,,AFLRET26000072,2026-08-11 17:03:00,No,Mihir Bhatt,2026-08-11 17:03:00,Salaried — Government / PSU,Salaried,0.2,No
364,Rutuja,Shah,AFL-RET-000364,Website,Vyapar Vriddhi JAN26,CMP-2026-0013,2026-01-04 14:23:00,,9707620334,,,1973-11-26,UEDPU1720A,PAN_Rutuja_Shah.pdf,Pune,Pune,Maharashtra,411027,India,Business & MSME Loans,Working Capital Loan,9500000,2026-03-05,Sneha Parikh,Pune — Wakad,Maharashtra Region,West Zone,Not interested,NI-04,Requirement postponed,,,2026-01-05 15:41:00,No,Sneha Parikh,2026-01-05 15:41:00,Business Owner,Self-Employed,0.2,No
365,Manoj,Das,AFL-RET-000365,PQ Campaign,Safar Travel APR26,CMP-2026-0025,2026-04-17 14:44:00,694186721,8999512300,6109862402,manoj.das@outlook.com,1965-09-08,BBAPH1639A,PAN_Manoj_Das.pdf,Guwahati,Kamrup Metro,Assam,781028,India,Retail Personal Loans,Travel Loan,250000,2026-06-16,Sunita Saikia,Guwahati — GS Road,East India Region,East Zone,Rejected,REJ-03,Policy restriction,,,2026-04-21 16:59:00,No,Sunita Saikia,2026-04-21 16:59:00,Retired / Pensioner,Salaried,,No
366,Kunal,Patel,AFL-RET-000366,Social media,Shubh Vivah FEB26,CMP-2026-0015,2026-02-03 16:00:00,,6642493074,,kunal.patel@hotmail.com,1966-12-04,BPNPN2265F,PAN_Kunal_Patel.pdf,Ahmedabad,Ahmedabad,Gujarat,380015,India,Retail Personal Loans,Marriage Loan,1200000,2026-03-05,Payal Vora,Ahmedabad — CG Road,Gujarat Region,West Zone,Disbursed,,,,AFLRET26000073,2026-02-28 15:25:00,No,Payal Vora,2026-02-28 15:25:00,Retired / Pensioner,Salaried,14.7,Yes
367,Kiran,Naik,AFL-RET-000367,PQ Campaign,Shubh Vivah NOV25,CMP-2025-0007,2025-11-15 19:18:00,208099615,6263898117,9339923814,kiran.naik62@rediffmail.com,1973-04-05,DRXPT4271V,PAN_Kiran_Naik.pdf,Bengaluru,Bengaluru Urban,Karnataka,560082,India,Retail Personal Loans,Marriage Loan,1200000,2026-01-14,Vinay Jain,Bengaluru — Jayanagar,Karnataka Region,South Zone,Rejected,REJ-04,Negative / restricted profile,,,2025-11-28 10:07:00,No,Vinay Jain,2025-11-28 10:07:00,Salaried — Government / PSU,Salaried,,No
